Date,Open,High,Low,Close,Volume,Change,ChangeRatio,평균기온(℃),강수량(mm),Stock,강수량(mm)_log
2024-02-21,171820,171916,168955,169051,576134,-2769,-1.611570248,6.2,14.3,고구마켓 주식회사,2.727852828
2024-02-22,169623,171533,167522,168573,538917,-1050,-0.619019826,4.5,4.7,고구마켓 주식회사,1.740466175
2024-02-23,169241,176118,168859,171916,863203,2675,1.580586265,4.4,1.6,고구마켓 주식회사,0.955511445
2024-02-26,173826,174972,172680,173349,507720,-477,-0.274412343,4.7,1.475,고구마켓 주식회사,0.906240396
2024-02-27,173825,182803,173157,181562,1701105,7737,4.451028333,7.2,1.05,고구마켓 주식회사,0.717839793
2024-02-28,181658,184714,178124,181467,854519,-191,-0.105142631,8.3,0.625,고구마켓 주식회사,0.485507816
2024-02-29,181084,182708,171629,171629,1416886,-9455,-5.221333746,6.5,0.2,고구마켓 주식회사,0.182321557
2024-03-04,172297,173157,167235,168191,959707,-4106,-2.383094308,9,0,고구마켓 주식회사,0
2024-03-05,167140,171916,164562,167905,1034938,765,0.457700132,7,4.8,고구마켓 주식회사,1.757857918
2024-03-06,168095,172775,166662,172489,690677,4394,2.613998037,8.2,3.2,고구마켓 주식회사,1.435084525
2024-03-07,173252,174876,168763,169146,565293,-4106,-2.369958211,4.4,1.6,고구마켓 주식회사,0.955511445
2024-03-08,171724,173157,169909,172202,543822,478,0.278353637,3.5,0,고구마켓 주식회사,0
2024-03-11,173061,174398,171246,171438,398608,-1623,-0.937819613,7.4,0,고구마켓 주식회사,0
2024-03-12,172202,173826,168095,173540,442442,1338,0.77699446,6.2,0.2,고구마켓 주식회사,0.182321557
2024-03-13,173635,173826,169719,170770,479527,-2865,-1.650012958,6.1,0.15,고구마켓 주식회사,0.139761942
2024-03-14,170674,172393,170578,171343,1919837,669,0.391975345,7.3,0.1,고구마켓 주식회사,0.09531018
2024-03-15,172106,174112,170769,172680,1095581,574,0.333515392,8.9,0.05,고구마켓 주식회사,0.048790164
