Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-05-07,179400,180900,179300,179600,4349589,200,0.11148272017837235
2024-05-08,177600,179400,176000,178000,2304744,400,0.22522522522522523
2024-05-09,179000,179400,175400,175400,2861600,-3600,-2.011173184357542
2024-05-10,176500,180100,176400,179900,2813668,3400,1.9263456090651558
2024-05-13,180000,184000,179000,183800,3230023,3800,2.111111111111111
2024-05-14,184200,185800,181800,185300,2763069,1100,0.5971769815418024
2024-05-16,191100,194000,191100,193000,5083178,1900,0.9942438513867086
2024-05-17,192000,193500,189900,189900,2841394,-2100,-1.09375
2024-05-20,192300,193200,188600,190100,3592128,-2200,-1.1440457618304731
2024-05-21,193400,193500,191200,192000,2468109,-1400,-0.7238883143743536
2024-05-22,191900,197700,190900,197700,3949439,5800,3.0224075039082856
2024-05-23,203500,204000,198200,200000,4681849,-3500,-1.71990171990172
2024-05-24,199800,202500,197500,198600,3793872,-1200,-0.6006006006006006
2024-05-27,203500,209000,199100,201500,4774882,-2000,-0.9828009828009828
2024-05-28,202500,205500,200500,202500,2084945,0,0.0
2024-05-29,210000,210000,200500,202500,3073139,-7500,-3.571428571428571
2024-05-30,202500,202500,195700,195700,2402236,-6800,-3.3580246913580245
2024-05-31,194400,195200,188200,189200,5958829,-5200,-2.674897119341564
2024-06-03,189500,194600,188200,194200,2982443,4700,2.480211081794195
2024-06-04,196400,196500,192900,193300,1996780,-3100,-1.5784114052953158
2024-06-05,189400,195200,188800,193700,2709631,4300,2.2703273495248153
2024-06-07,199500,207500,197300,207500,4805326,8000,4.010025062656641
2024-06-10,206000,209500,205000,208000,2448961,2000,0.9708737864077669
2024-06-11,210000,215000,206000,212500,3070163,2500,1.1904761904761905
2024-06-12,212000,216000,211000,215000,2151331,3000,1.4150943396226416
2024-06-13,226000,226500,219000,222000,5777279,-4000,-1.7699115044247788
2024-06-14,225000,225000,216000,221000,3311223,-4000,-1.7777777777777777
2024-06-17,219000,229500,219000,223000,2198340,4000,1.82648401826484
2024-06-18,227000,234500,227000,234500,3136231,7500,3.303964757709251
2024-06-19,235000,243000,231500,233500,3758652,-1500,-0.6382978723404255
2024-06-20,233500,238500,231000,237500,2927358,4000,1.7130620985010707
2024-06-21,230500,234500,230000,234000,3848394,3500,1.5184381778741864
2024-06-24,228000,230000,220000,223000,5080726,-5000,-2.1929824561403506
2024-06-25,215500,225000,215000,225000,5730999,9500,4.408352668213457
2024-06-26,228000,238500,227500,237000,5166862,9000,3.9473684210526314
2024-06-27,229500,239000,227500,236500,3763005,7000,3.0501089324618738
2024-06-28,235500,237500,232500,236500,2368287,1000,0.42462845010615713
2024-07-01,233500,236500,232000,235500,1709955,2000,0.8565310492505354
2024-07-02,235500,237000,230500,232000,2343947,-3500,-1.48619957537155
2024-07-03,231000,236000,225000,236000,3315677,5000,2.1645021645021645
2024-07-04,240500,240500,225000,230000,7599882,-10500,-4.365904365904366
2024-07-05,228500,237500,227500,236000,4041293,7500,3.282275711159737
2024-07-08,234000,237000,232500,233500,2309023,-500,-0.2136752136752137
2024-07-09,235500,241000,233000,238500,4810781,3000,1.2738853503184715
2024-07-10,237500,239000,234000,239000,2579373,1500,0.631578947368421
2024-07-11,242500,248500,241000,241000,5336097,-1500,-0.6185567010309279
2024-07-12,232000,236000,230000,233000,4972976,1000,0.43103448275862066
2024-07-15,235000,235500,226500,230000,3301380,-5000,-2.127659574468085
2024-07-16,226500,235000,224000,233000,3982189,6500,2.869757174392936
2024-07-17,229500,230000,220500,220500,6051510,-9000,-3.9215686274509802
2024-07-18,212500,215000,209000,212500,8847665,0,0.0
2024-07-19,208500,214000,207000,209500,4519170,1000,0.4796163069544364
2024-07-22,209000,209500,200500,205000,6662441,-4000,-1.9138755980861244
2024-07-23,208500,209500,200500,205000,5976519,-3500,-1.6786570743405276
2024-07-24,202000,212500,200000,208500,4838734,6500,3.217821782178218
2024-07-25,196200,198800,189000,190000,12503762,-6200,-3.1600407747196737
2024-07-26,190800,194500,186100,191800,8769107,1000,0.5241090146750524
2024-07-29,195000,195700,192200,195600,4017366,600,0.3076923076923077
2024-07-30,191300,192200,186500,188900,5165131,-2400,-1.2545739675901726
2024-07-31,188000,195000,185200,194600,6439929,6600,3.5106382978723407
2024-08-01,201500,201500,193300,193300,6457167,-8200,-4.069478908188586
2024-08-02,183600,184000,172400,173200,13050139,-10400,-5.664488017429194
2024-08-05,168000,171200,151600,156100,12358821,-11900,-7.083333333333333
2024-08-06,165100,166400,161500,163700,10717321,-1400,-0.8479709267110842
2024-08-07,160900,171000,157400,169300,9732037,8400,5.220633934120572
2024-08-08,162600,168200,161200,163400,5370361,800,0.4920049200492005
2024-08-09,172800,172800,168800,171500,5141277,-1300,-0.7523148148148148
2024-08-12,174500,179800,172600,177000,4413736,2500,1.4326647564469914
2024-08-13,179900,182400,178800,181900,4234287,2000,1.1117287381878822
2024-08-14,188000,188100,184700,186700,4420516,-1300,-0.6914893617021276
2024-08-16,196000,200000,194700,199700,6959688,3700,1.8877551020408163
2024-08-19,199900,199900,192400,193900,3977026,-6000,-3.001500750375188
2024-08-20,198700,202500,198100,199700,4258190,1000,0.5032712632108707
2024-08-21,193000,195400,191100,192600,4508983,-400,-0.20725388601036268
2024-08-22,192000,194400,189000,191100,3166217,-900,-0.46875
2024-08-23,186000,189300,185400,185500,4371332,-500,-0.2688172043010753
2024-08-26,187800,188500,179600,179600,4913204,-8200,-4.366347177848776
2024-08-27,176800,180200,173400,175000,5796566,-1800,-1.0180995475113122
2024-08-28,175000,180800,174000,179300,5590086,4300,2.457142857142857
2024-08-29,167600,171700,167200,169700,8284585,2100,1.2529832935560858
2024-08-30,171000,175500,169400,173700,4498221,2700,1.5789473684210527
2024-09-02,173600,174900,168400,174000,3507670,400,0.2304147465437788
2024-09-03,172900,173800,168300,168300,3286574,-4600,-2.6604973973395025
2024-09-04,152900,159000,152900,154800,10020391,1900,1.2426422498364944
2024-09-05,157000,163000,156600,159400,5349484,2400,1.5286624203821657
2024-09-06,157100,158200,154900,156400,3459914,-700,-0.4455760661998727
2024-09-09,151800,157700,150500,157000,4484162,5200,3.4255599472990776
2024-09-10,157400,161700,154300,155500,4718523,-1900,-1.207115628970775
2024-09-11,156800,158700,154300,157200,3203928,400,0.25510204081632654
2024-09-12,165200,171300,163800,168800,8628996,3600,2.1791767554479415
2024-09-13,166500,166700,161100,162800,5246578,-3700,-2.2222222222222223
2024-09-19,154700,155700,144700,152800,15001257,-1900,-1.2281835811247577
2024-09-20,160500,160800,155900,157100,7155655,-3400,-2.1183800623052957
2024-09-23,155800,162900,155700,162000,4497592,6200,3.979460847240052
2024-09-24,163700,163700,159200,163500,3442530,-200,-0.12217470983506415
2024-09-25,166700,169300,165000,165300,4665075,-1400,-0.8398320335932814
2024-09-26,178400,180900,176200,180900,9519633,2500,1.4013452914798208
2024-09-27,187500,189300,183800,183800,6886272,-3700,-1.9733333333333332
2024-09-30,183700,183800,174600,174600,4859468,-9100,-4.953728905824714
2024-10-02,172700,175500,169100,169100,4720638,-3600,-2.0845396641574987
2024-10-04,171700,175600,170700,174100,3633358,2400,1.3977868375072802
2024-10-07,178400,184900,176000,184900,3904925,6500,3.6434977578475336
2024-10-08,182200,185000,178000,178000,3988028,-4200,-2.305159165751921
2024-10-10,184500,188100,183400,186700,6325045,2200,1.1924119241192412
2024-10-11,190000,191200,185100,186000,3475666,-4000,-2.1052631578947367
2024-10-14,186900,192300,186900,187500,3309274,600,0.32102728731942215
2024-10-15,191900,193200,189700,192900,4060365,1000,0.5211047420531527
2024-10-16,184700,192500,183600,188700,4787317,4000,2.165674066053059
2024-10-17,191200,196000,188700,196000,3996946,4800,2.510460251046025
2024-10-18,198200,198200,186200,187300,5509895,-10900,-5.49949545913219
2024-10-21,189400,192300,188000,190900,2428544,1500,0.791974656810982
2024-10-22,195300,195300,187500,187800,3466963,-7500,-3.840245775729647
2024-10-23,188500,196700,188000,196000,4366079,7500,3.978779840848806
2024-10-24,193500,202000,190000,198200,6344515,4700,2.428940568475452
2024-10-25,203000,206000,199400,201000,5530362,-2000,-0.9852216748768473
2024-10-28,203500,205000,194200,196000,4114186,-7500,-3.6855036855036856
2024-10-29,196000,197000,189100,190300,4067991,-5700,-2.9081632653061225
2024-10-30,190200,195400,189400,195000,3580400,4800,2.5236593059936907
2024-10-31,189900,192900,186100,186300,4573282,-3600,-1.8957345971563981
2024-11-01,182500,184900,180500,182200,3478519,-300,-0.16438356164383564
2024-11-04,185200,194000,183700,194000,3569575,8800,4.751619870410368
2024-11-05,193600,198800,192100,193200,3560310,-400,-0.2066115702479339
2024-11-06,197700,199200,192700,195800,3460361,-1900,-0.9610520991401114
2024-11-07,197400,198300,193100,197400,2976546,0,0.0
2024-11-08,200500,203000,198800,200500,3031573,0,0.0
2024-11-11,199300,199300,192400,192600,2636191,-6700,-3.3617661816357254
2024-11-12,192500,192500,184900,185800,3920254,-6700,-3.4805194805194803
2024-11-13,185700,189500,182600,182900,3172827,-2800,-1.5078082929456111
2024-11-14,182900,184900,171700,173000,6309368,-9900,-5.41279387643521
2024-11-15,174000,179000,173600,178200,4330750,4200,2.413793103448276
2024-11-18,173800,177800,170300,171700,3885644,-2100,-1.2082853855005753
2024-11-19,170400,172900,168100,170600,4075013,200,0.11737089201877934
2024-11-20,175000,175100,170200,170600,3689296,-4400,-2.5142857142857142
2024-11-21,168200,173000,168200,168800,3821502,600,0.356718192627824
2024-11-22,171700,178200,171200,176700,3919973,5000,2.9120559114735003
2024-11-25,174500,179500,173900,177000,4393882,2500,1.4326647564469914
2024-11-26,175200,177700,174700,177100,1996128,1900,1.0844748858447488
2024-11-27,175600,175700,167900,168300,4756820,-7300,-4.157175398633258
2024-11-28,164600,166300,160800,161100,5691298,-3500,-2.12636695018226
2024-11-29,160000,162400,157600,159900,4682788,-100,-0.0625
2024-12-02,162200,162700,158600,158800,3558868,-3400,-2.096177558569667
2024-12-03,159200,165100,159100,164900,4180365,5700,3.5804020100502516
2024-12-04,161300,168000,161100,168000,5701792,6700,4.153750774953503
2024-12-05,170000,175600,169300,173000,4671438,3000,1.7647058823529411
2024-12-06,173500,173600,165000,167100,4434259,-6400,-3.688760806916427
2024-12-09,167100,170600,165000,168900,5305672,1800,1.0771992818671454
2024-12-10,168000,170400,167600,170400,3159112,2400,1.4285714285714286
2024-12-11,167400,171800,167000,171800,2281189,4400,2.6284348864994027
2024-12-12,176500,177400,173500,176100,4550292,-400,-0.22662889518413595
2024-12-13,174400,176400,173500,175500,3677980,1100,0.6307339449541285
2024-12-16,177400,180400,177300,179300,3278975,1900,1.0710259301014655
2024-12-17,183000,184500,182100,184000,3188910,1000,0.546448087431694
2024-12-18,183400,183900,181600,183500,2363872,100,0.05452562704471102
2024-12-19,173900,176800,173000,175000,4833862,1100,0.6325474410580794
2024-12-20,174100,174800,167100,168500,4487308,-5600,-3.2165422171166
2024-12-23,170000,173300,169600,169600,3287596,-400,-0.2352941176470588
2024-12-24,171700,171900,168300,168500,1844961,-3200,-1.8637157833430402
2024-12-26,170000,172000,169400,170100,2022727,100,0.0588235294117647
2024-12-27,170100,176000,170000,174500,2643523,4400,2.586713697824809
2024-12-30,174000,175800,172400,173900,1434202,-100,-0.05747126436781609
