Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-04-24,114800,116800,114200,116200,1178637,1400,1.2195121951219512
2024-04-25,114800,118000,114200,116600,1708852,1800,1.5679442508710801
2024-04-26,116600,121500,114500,118200,2705868,1600,1.3722126929674099
2024-04-29,119500,121300,117600,118300,1820652,-1200,-1.00418410041841
2024-04-30,118100,119500,117200,118000,1264927,-100,-0.0846740050804403
2024-05-02,118300,119600,117500,119600,1246995,1300,1.098901098901099
2024-05-03,120300,120800,113600,113900,1779155,-6400,-5.320033250207814
2024-05-07,114000,116600,114000,115700,1204913,1700,1.4912280701754386
2024-05-08,114700,117200,114700,116000,792482,1300,1.1333914559721012
2024-05-09,116400,116400,111200,111700,1762344,-4700,-4.037800687285223
2024-05-10,113500,114500,112000,114100,1422408,600,0.5286343612334802
2024-05-13,113900,115700,113300,114300,935835,400,0.35118525021949076
2024-05-14,114500,115200,112500,113900,788713,-600,-0.5240174672489083
2024-05-16,114900,115500,113400,114700,963262,-200,-0.17406440382941687
2024-05-17,115100,115900,112500,112700,1087425,-2400,-2.0851433536055604
2024-05-20,113400,116500,113000,114900,850630,1500,1.3227513227513228
2024-05-21,114900,115000,113800,114400,695579,-500,-0.4351610095735422
2024-05-22,113600,119700,113400,118900,2260904,5300,4.665492957746479
2024-05-23,119000,120900,116200,120500,1760819,1500,1.2605042016806722
2024-05-24,119300,122100,118800,120000,1463021,700,0.586756077116513
2024-05-27,120500,124400,118600,122500,1644197,2000,1.6597510373443984
2024-05-28,123000,124800,122000,122400,1096369,-600,-0.4878048780487805
2024-05-29,121200,123000,119200,122000,1277990,800,0.6600660066006601
2024-05-30,121100,122200,117700,117700,1096042,-3400,-2.8075970272502064
2024-05-31,119200,120800,117700,117700,2011874,-1500,-1.2583892617449663
2024-06-03,120100,122800,119800,120700,906152,600,0.4995836802664446
2024-06-04,120700,121700,118100,119000,820199,-1700,-1.4084507042253522
2024-06-05,119000,120200,118300,119500,1068743,500,0.42016806722689076
2024-06-07,120500,122300,119500,121100,976721,600,0.49792531120331945
2024-06-10,121000,123000,120000,121400,970865,400,0.3305785123966942
2024-06-11,122700,123200,121300,122000,1214447,-700,-0.5704971475142625
2024-06-12,124000,124000,121400,122500,970708,-1500,-1.2096774193548387
2024-06-13,123100,125400,121600,121700,2186257,-1400,-1.1372867587327375
2024-06-14,121400,124600,120800,122700,1278973,1300,1.070840197693575
2024-06-17,124000,129400,123800,129100,2654199,5100,4.112903225806452
2024-06-18,129900,133900,129100,131000,2632809,1100,0.8468052347959968
2024-06-19,132200,135000,130800,132300,1606458,100,0.07564296520423601
2024-06-20,131400,131600,128700,130600,1110575,-800,-0.60882800608828
2024-06-21,130400,130500,126500,127900,1680099,-2500,-1.9171779141104295
2024-06-24,127800,128900,126100,128300,712382,500,0.39123630672926446
2024-06-25,129200,130600,127900,129000,1100760,-200,-0.15479876160990713
2024-06-26,127800,130900,127600,130800,1219468,3000,2.3474178403755865
2024-06-27,129100,132300,128200,131500,901065,2400,1.8590240123934934
2024-06-28,132300,132300,128600,129300,1026360,-3000,-2.2675736961451247
2024-07-01,128100,129900,127700,128600,659327,500,0.39032006245121
2024-07-02,128000,128300,123500,123600,1369592,-4400,-3.4375000000000004
2024-07-03,124800,125500,122500,123700,1035953,-1100,-0.8814102564102564
2024-07-04,124100,126600,124100,125600,793881,1500,1.20870265914585
2024-07-05,126700,128200,125300,126300,805600,-400,-0.31570639305445936
2024-07-08,126200,127500,124200,124200,999050,-2000,-1.5847860538827259
2024-07-09,125000,125400,120600,122500,1662846,-2500,-2.0
2024-07-10,121600,122900,120800,122000,1118813,400,0.3289473684210526
2024-07-11,123000,123200,121300,122300,998099,-700,-0.5691056910569106
2024-07-12,122800,123500,120000,121300,863955,-1500,-1.221498371335505
2024-07-15,121300,121600,118700,120000,669497,-1300,-1.0717230008244023
2024-07-16,120900,122900,120600,122900,891422,2000,1.6542597187758479
2024-07-17,123000,123000,120100,121000,944338,-2000,-1.6260162601626018
2024-07-18,120000,120700,118500,119900,864546,-100,-0.08333333333333334
2024-07-19,118300,118400,114700,116300,1498610,-2000,-1.69061707523246
2024-07-22,116700,117500,113800,115900,968117,-800,-0.6855184233076265
2024-07-23,117200,120600,117200,120500,1194748,3300,2.8156996587030716
2024-07-24,118800,119400,117900,118400,689203,-400,-0.33670033670033667
2024-07-25,118300,118900,114500,115000,1138700,-3300,-2.789518174133559
2024-07-26,118500,118500,110000,112100,1582067,-6400,-5.40084388185654
2024-07-29,112100,116100,110900,113700,1192545,1600,1.4272970561998217
