Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-02-19,72800,73900,72800,73800,12726404,1000,1.3736263736263736
2024-02-20,73700,73700,72800,73300,14681477,-400,-0.5427408412483039
2024-02-21,73400,73700,72900,73000,11503495,-400,-0.544959128065395
2024-02-22,73800,73900,72700,73100,15208934,-700,-0.9485094850948509
2024-02-23,73600,74200,72900,72900,16225166,-700,-0.9510869565217392
2024-02-26,72300,73200,72200,72800,14669352,500,0.6915629322268326
2024-02-27,73100,73400,72700,72900,13201981,-200,-0.27359781121751026
2024-02-28,72900,73900,72800,73200,11795859,300,0.411522633744856
2024-02-29,72600,73400,72000,73400,21176403,800,1.1019283746556474
2024-03-04,74300,75000,74000,74900,23210474,600,0.8075370121130552
2024-03-05,74600,74800,73700,73700,19505125,-900,-1.2064343163538873
2024-03-06,73200,73500,72700,72900,21547905,-300,-0.4098360655737705
2024-03-07,73100,73300,72200,72200,14516963,-900,-1.231190150478796
2024-03-08,72800,73400,72600,73300,19271349,500,0.6868131868131868
2024-03-11,72900,73100,72300,72400,9740504,-500,-0.6858710562414266
2024-03-12,72600,73500,72100,73300,13011654,700,0.9641873278236914
2024-03-13,73700,74100,73500,74100,15243134,400,0.5427408412483039
2024-03-14,74400,74500,73600,74300,22545539,-100,-0.13440860215053765
2024-03-15,73400,73700,72300,72300,22580555,-1100,-1.4986376021798364
2024-03-18,72600,73000,72500,72800,11520348,200,0.27548209366391185
2024-03-19,72300,73000,71700,72800,15376066,500,0.6915629322268326
2024-03-20,73700,77200,73400,76900,50106297,3200,4.341926729986431
2024-03-21,79200,79300,77700,79300,44569799,100,0.12626262626262627
2024-03-22,79600,79900,77800,78900,26724761,-700,-0.8793969849246231
2024-03-25,79600,79800,77800,78200,18703996,-1400,-1.7587939698492463
2024-03-26,79700,80100,79200,79900,30551494,200,0.2509410288582183
2024-03-27,79200,80000,79200,79800,17424595,600,0.7575757575757576
2024-03-28,79400,81000,79200,80800,25084812,1400,1.7632241813602016
2024-03-29,81200,82500,80900,82400,27126366,1200,1.477832512315271
2024-04-01,83200,83300,82000,82000,20116513,-1200,-1.4423076923076923
2024-04-02,82900,85000,82900,85000,37077944,2100,2.5331724969843186
2024-04-03,84300,85000,83500,84100,30493347,-200,-0.2372479240806643
2024-04-04,85200,85500,84300,85300,25248934,100,0.11737089201877934
2024-04-05,84500,85000,83800,84500,18883752,0,0.0
2024-04-08,85200,86000,84500,84500,18953232,-700,-0.8215962441314555
2024-04-09,84500,84900,83100,83600,23725956,-900,-1.0650887573964496
2024-04-11,83200,84700,82500,84100,25538009,900,1.0817307692307692
2024-04-12,84700,84900,83200,83700,17061770,-1000,-1.1806375442739079
2024-04-15,82900,83200,81200,82200,26663772,-700,-0.8443908323281062
2024-04-16,81200,81300,79400,80000,31949845,-1200,-1.477832512315271
2024-04-17,80700,80800,78900,78900,22611631,-1800,-2.2304832713754648
2024-04-18,78800,80100,78300,79600,21370190,800,1.015228426395939
2024-04-19,78300,78700,76300,77600,31317563,-700,-0.8939974457215836
2024-04-22,77400,77500,75100,76100,30469477,-1300,-1.6795865633074936
2024-04-23,76400,76800,75500,75500,18717699,-900,-1.1780104712041886
2024-04-24,77500,78800,77200,78600,22166150,1100,1.4193548387096775
2024-04-25,77300,77500,76300,76300,15549134,-1000,-1.29366106080207
2024-04-26,77800,77900,76500,76700,12755629,-1100,-1.4138817480719794
2024-04-29,77400,77600,76200,76700,14664474,-700,-0.9043927648578811
2024-04-30,77000,78500,76600,77500,19007007,500,0.6493506493506493
2024-05-02,77600,78600,77300,78000,18900640,400,0.5154639175257731
2024-05-03,79000,79000,77500,77600,13151889,-1400,-1.7721518987341773
2024-05-07,79600,81300,79400,81300,26238868,1700,2.135678391959799
2024-05-08,80800,81400,80500,81300,13089576,500,0.6188118811881188
2024-05-09,81100,81500,79700,79700,18759935,-1400,-1.726263871763255
2024-05-10,80400,81100,78900,79200,16976124,-1200,-1.4925373134328357
2024-05-13,79400,79900,77600,78400,18652344,-1000,-1.2594458438287155
2024-05-14,78600,78800,77900,78300,11763992,-300,-0.38167938931297707
2024-05-16,80200,80300,78100,78200,20989778,-2000,-2.493765586034913
